n,events,non_events,responders,prevalence,p_base,p_event,p_fisher,or,ci.low,ci.high
80,40,40,12,0.5,0.2,0.1,0.348206269302852,0.448903698074288,0.0901286769543352,1.86926979253314
80,1,79,17,0.01,0.2,0.01,1,0,0,144.206008583692
80,2,78,13,0.05,0.2,0.01,1,0,0,28.131384340986
80,6,74,16,0.1,0.2,0.01,0.340308884985767,0,0,3.4355303554837
80,25,55,11,0.3,0.2,0.01,0.0144351407397247,0,0,0.782217331199864
80,45,35,4,0.5,0.2,0.01,0.0331061343719572,0,0,1.12943561690704
80,0,80,,0.01,0.2,0,1,,,
80,3,77,14,0.05,0.2,0,1,0,0,11.788202747896
80,3,77,14,0.1,0.2,0,1,0,0,11.788202747896
80,26,54,9,0.3,0.2,0,0.0273683800177553,0,0,0.970649735943784
80,37,43,12,0.5,0.2,0,0.000285346375659019,0,0,0.337486574279618
100,2,98,37,0.01,0.4,0.4,0.134545454545455,Inf,0.322748982907477,Inf
100,1,99,38,0.05,0.4,0.4,0.38,Inf,0.0418351433175948,Inf
100,7,93,43,0.1,0.4,0.4,1,0.993812116365578,0.13777538605046,6.23598852850269
100,27,73,38,0.3,0.4,0.4,0.248267393141858,1.77224104107058,0.656373529366199,4.79079127901763
100,60,40,34,0.5,0.4,0.4,1,0.929262213982038,0.369740373927651,2.36740324376806
100,1,99,37,0.01,0.4,0.2,1,0,0,66.3376110562689
100,6,94,34,0.05,0.4,0.2,0.660816990930936,0.372768516254745,0.00759462343394875,3.534762321193
100,7,93,48,0.1,0.4,0.2,0.438847822461496,0.412163829630746,0.0374518692378509,2.67362059784908
100,28,72,44,0.3,0.4,0.2,0.0242500762971297,0.318912247351273,0.101332621481372,0.900563900615686
100,54,46,33,0.5,0.4,0.2,0.0186310208350181,0.344023003149687,0.129779687838345,0.875917872902911
100,0,100,,0.01,0.4,0.1,1,,,
100,5,95,34,0.05,0.4,0.1,0.163054912686724,0,0,2.08660420540619
100,6,94,40,0.1,0.4,0.1,0.397300907241997,0.285023182565092,0.00582154359372008,2.69193253240458
100,28,72,28,0.3,0.4,0.1,0.000386453645891337,0.0628797804169396,0.00145956232896739,0.427745297957226
100,48,52,27,0.5,0.4,0.1,3.15776795541564e-07,0.0483378450931901,0.00516922554868081,0.218458860924787
100,2,98,42,0.01,0.4,0.01,0.507878787878788,0,0,7.35327103405089
100,3,97,34,0.05,0.4,0.01,0.548979591836735,0,0,4.70351982143475
100,11,89,37,0.1,0.4,0.01,0.00622432770857342,0,0,0.608431035555484
100,33,67,21,0.3,0.4,0.01,0.000120208588019359,0,0,0.296356179086761
100,52,48,21,0.5,0.4,0.01,5.31168277183125e-07,0.0283162161822848,0.0006552608870006,0.195223315879115
100,2,98,45,0.01,0.4,0,0.5,0,0,6.50002055760006
100,6,94,35,0.05,0.4,0,0.088354438110271,0,0,1.53305009384031
100,6,94,40,0.1,0.4,0,0.0783377643466008,0,0,1.22644993901514
100,31,69,24,0.3,0.4,0,3.28183673433089e-05,0,0,0.268476043786465
100,48,52,21,0.5,0.4,0,1.04957246943567e-07,0,0,0.138504097622992
100,1,99,23,0.01,0.2,0.4,0.23,Inf,0.0858415994671077,Inf
100,5,95,25,0.05,0.2,0.4,0.596397251496663,2.06938396089977,0.163464279003147,19.2468672945139
100,11,89,18,0.1,0.2,0.4,0.0039979392744971,7.46153695754922,1.62322081648697,36.4114153815668
100,29,71,30,0.3,0.2,0.4,0.337101698400988,1.66359337117893,0.595292710396586,4.5589327282506
100,45,55,36,0.5,0.2,0.4,0.834832237784696,1.14875804322419,0.466563276118957,2.82364152725435
100,2,98,20,0.01,0.2,0.2,0.361616161616162,4.07818445181843,0.0503400437039069,329.449760620896
100,2,98,33,0.05,0.2,0.2,1,2.04639312462357,0.0254857964852729,164.089574122544
100,10,90,22,0.1,0.2,0.2,0.220303900607406,2.63498040717922,0.493554373412088,12.5282691347488
100,31,69,17,0.3,0.2,0.2,1,0.914267171863413,0.228162448723288,3.15950380996387
100,48,52,18,0.5,0.2,0.2,0.199975181612627,0.479675246959742,0.134183853593097,1.54176376650732
100,0,100,,0.01,0.2,0.1,1,,,
100,6,94,21,0.05,0.2,0.1,1,0.742066985043043,0.0149142316326468,7.1971575983884
100,16,84,14,0.1,0.2,0.1,0.117416638013005,0,0,1.50186853870494
100,30,70,13,0.3,0.2,0.1,0.00877102593332804,0,0,0.682827255859202
100,48,52,15,0.5,0.2,0.1,0.0950007305809523,0.342375562463336,0.0736032458095872,1.27266462461793
100,2,98,21,0.01,0.2,0.01,1,0,0,20.2996573771164
100,5,95,15,0.05,0.2,0.01,1,0,0,6.41447390930447
100,6,94,16,0.1,0.2,0.01,0.58562873913932,0,0,4.58027614294064
100,31,69,17,0.3,0.2,0.01,0.00116443221121905,0,0,0.447825338265018
100,49,51,8,0.5,0.2,0.01,0.00584530831568445,0,0,0.555396603505209
100,3,97,21,0.01,0.2,0,1,0,0,9.27012894026622
100,6,94,13,0.05,0.2,0,1,0,0,5.95462826891088
100,5,95,23,0.1,0.2,0,0.586580551464572,0,0,3.67852837603259
100,30,70,18,0.3,0.2,0,0.00117818355721418,0,0,0.435345585799482
100,36,64,3,0.5,0.2,0,0.551168831168831,0,0,4.29967325060197
120,1,119,49,0.01,0.4,0.4,1,0,0,56.4612326043767
120,6,114,39,0.05,0.4,0.4,1,1.04017877991691,0.0902311381086558,7.63852208913251
120,10,110,47,0.1,0.4,0.4,1,1.03845803053554,0.203364564916137,4.67364818926152
120,33,87,43,0.3,0.4,0.4,0.672169356589315,1.23278153282182,0.490861260591822,3.03195643963369
120,59,61,52,0.5,0.4,0.4,0.269040564740482,1.59078140706131,0.725614773911498,3.52450839693126
120,1,119,44,0.01,0.4,0.2,1,0,0,67.2938572219158
120,2,118,62,0.05,0.4,0.2,0.231512605042017,0,0,4.96489392416996
120,9,111,44,0.1,0.4,0.2,0.0254250034639565,0,0,0.822832800232918
120,38,82,41,0.3,0.4,0.2,0.000875793091309816,0.196037760233993,0.0542212878814913,0.576209731727914
120,65,55,36,0.5,0.4,0.2,0.00475084489422368,0.295656579198079,0.116929446645282,0.714357239596232
120,2,118,51,0.01,0.4,0.1,0.507142857142857,0,0,7.20282029325697
120,4,116,43,0.05,0.4,0.1,0.617088904227489,1.81961839906675,0.127533409818194,25.9641249741793
120,14,106,44,0.1,0.4,0.1,0.570034745184197,0.662181874134685,0.142009778755414,2.49141349191254
120,40,80,37,0.3,0.4,0.1,0.093327902007676,0.442531165860724,0.154992912690967,1.15036281119344
120,51,69,32,0.5,0.4,0.1,5.06987624136783e-05,0.126636189984402,0.0297799355895036,0.40477124308305
120,0,120,,0.01,0.4,0.01,1,,,
120,9,111,37,0.05,0.4,0.01,0.055530650907636,0,0,1.08374626439867
120,11,109,37,0.1,0.4,0.01,0.0173538496577225,0,0,0.832469330412189
120,38,82,32,0.3,0.4,0.01,8.1624591124344e-07,0,0,0.176691140947007
120,62,58,25,0.5,0.4,0.01,2.30052979990505e-08,0.0238389723381885,0.000561207742262731,0.159021873873534
120,0,120,,0.01,0.4,0,1,,,
120,5,115,51,0.05,0.4,0,0.0712966412118955,0,0,1.44215914897585
120,13,107,47,0.1,0.4,0,0.0015527220415948,0,0,0.449762941946518
120,30,90,42,0.3,0.4,0,2.77820906388899e-07,0,0,0.163909510360243
120,54,66,20,0.5,0.4,0,1.80242493636082e-06,0,0,0.187402173098469
120,2,118,32,0.01,0.2,0.4,0.463865546218487,2.77808295623143,0.0346442826689503,222.362924419567
120,4,116,23,0.05,0.2,0.4,0.578207988975686,1.41961877895259,0.025963333181225,18.6686219691282
120,19,101,32,0.1,0.2,0.4,0.154346876622871,2.31473403966837,0.719957698214057,7.1941730226538
120,36,84,31,0.3,0.2,0.4,0.257529638700209,1.70253656694904,0.650275316210711,4.36685253778266
120,60,60,45,0.5,0.2,0.4,0.023145841726965,2.55180583638499,1.12370089220632,5.9604483429498
120,1,119,24,0.01,0.2,0.2,0.2,Inf,0.102564025878903,Inf
120,5,115,27,0.05,0.2,0.2,1,0.856838501161259,0.0167456913142714,9.1682447663036
120,15,105,23,0.1,0.2,0.2,0.483841377898937,1.63831480584893,0.343255914249654,6.34267784839712
120,36,84,34,0.3,0.2,0.2,0.12179500384742,2.02350864498806,0.801533670864943,5.07259617531966
120,60,60,24,0.5,0.2,0.2,0.819888821665184,1.22996286762862,0.456837322081568,3.36552885879842
120,2,118,23,0.01,0.2,0.1,1,0,0,22.743470605354
120,2,118,22,0.05,0.2,0.1,1,0,0,24.043567394043
120,13,107,17,0.1,0.2,0.1,0.690299589447362,0.476343913604421,0.0104472957950637,3.66595780749903
120,39,81,13,0.3,0.2,0.1,1,0.914950619044322,0.192369606700174,3.56558094247589
120,59,61,17,0.5,0.2,0.1,0.00749621800522963,0.18221168385714,0.0316826478579737,0.707882242791689
120,0,120,,0.01,0.2,0.01,1,,,
120,6,114,27,0.05,0.2,0.01,0.335280365799154,0,0,2.92751883168436
120,10,110,23,0.1,0.2,0.01,0.684981592196323,0.446878724027988,0.00970893219099392,3.535460250685
120,30,90,20,0.3,0.2,0.01,0.00330112492569892,0,0,0.516500126435596
120,54,66,14,0.5,0.2,0.01,0.00297840972871009,0.0781285758417484,0.00178201518643383,0.554925502975958
120,0,120,,0.01,0.2,0,1,,,
120,12,108,16,0.05,0.2,0,0.364419586208095,0,0,2.33060989992031
120,19,101,28,0.1,0.2,0,0.00626821075632873,0,0,0.611729660990209
120,37,83,15,0.3,0.2,0,0.00508052372287112,0,0,0.553328277362332
120,53,67,12,0.5,0.2,0,0.00107852492996251,0,0,0.400619586367449
140,3,137,51,0.01,0.4,0.4,1,0.870829970802895,0.0144665855596789,17.1217431336681
140,9,131,52,0.05,0.4,0.4,0.726502126849439,1.37998718634149,0.260786781478155,6.75545938996426
140,12,128,62,0.1,0.4,0.4,0.548775571743444,0.605555701468457,0.126893690289981,2.39913146932483
140,41,99,52,0.3,0.4,0.4,0.703156142886874,0.833441126398655,0.356615611040017,1.89086600497988
140,69,71,51,0.5,0.4,0.4,0.0531183768778765,2.06921925065044,0.975060236899153,4.46979641992699
140,1,139,55,0.01,0.4,0.2,1,0,0,60.2169581580717
140,5,135,59,0.05,0.4,0.2,0.0734544703177477,0,0,1.46911140996878
140,13,127,53,0.1,0.4,0.2,0.370077343402445,0.464315339755253,0.0783077440046204,1.9221782806075
140,52,88,54,0.3,0.4,0.2,0.0124043431302455,0.384727741423198,0.164745414901737,0.858014740786051
140,66,74,46,0.5,0.4,0.2,0.00213289985433574,0.307421889392992,0.130734910559252,0.689884024142153
140,1,139,56,0.01,0.4,0.1,1,0,0,58.4474885844716
140,4,136,58,0.05,0.4,0.1,0.141773293067047,0,0,2.1196645279725
140,22,118,47,0.1,0.4,0.1,0.0010565016249157,0.0754057900992789,0.00176920070942581,0.501643478320505
140,55,85,45,0.3,0.4,0.1,2.04131791882624e-06,0.114167759925504,0.0323353058380773,0.324118376355885
140,80,60,31,0.5,0.4,0.1,2.12838238831928e-05,0.146009932609505,0.0483804656563526,0.390090551931321
140,0,140,,0.01,0.4,0.01,1,,,
140,6,134,44,0.05,0.4,0.01,0.176661412856386,0,0,1.82563273512497
140,17,123,54,0.1,0.4,0.01,0.000245078233537664,0,0,0.330248795285192
140,41,99,47,0.3,0.4,0.01,1.41172078207804e-09,0,0,0.113442622446908
140,59,81,24,0.5,0.4,0.01,4.07824634528112e-07,0,0,0.172414421911293
140,0,140,,0.01,0.4,0,1,,,
